Date,PM10 (ug/m3)
01-01-2017,104.76
02-01-2017,105.95
03-01-2017,105.76
04-01-2017,120.07
05-01-2017,113.91
06-01-2017,133.11
07-01-2017,139.3
08-01-2017,124.97
09-01-2017,136.18
10-01-2017,126.83
11-01-2017,140.75
12-01-2017,139.56
13-01-2017,110.61
16-01-2017,75.29
17-01-2017,129.65
18-01-2017,110.22
19-01-2017,103.49
20-01-2017,117.11
21-01-2017,101.9
22-01-2017,103.67
23-01-2017,125.36
24-01-2017,121.63
25-01-2017,115.15
26-01-2017,108.39
27-01-2017,84.71
28-01-2017,61.82
29-01-2017,60.87
30-01-2017,85.04
31-01-2017,80.39
01-02-2017,81.73
02-02-2017,82.83
03-02-2017,94.46
06-02-2017,48.21
07-02-2017,102.99
08-02-2017,92.4
09-02-2017,102.36
10-02-2017,101.98
11-02-2017,90.7
12-02-2017,81.6
13-02-2017,72.32
14-02-2017,70.51
15-02-2017,78.82
16-02-2017,86.74
17-02-2017,115.7
18-02-2017,98.94
19-02-2017,107.97
20-02-2017,117.85
21-02-2017,125.03
22-02-2017,116.95
23-02-2017,105.68
24-02-2017,92.23
25-02-2017,86.26
26-02-2017,90.68
27-02-2017,85.35
28-02-2017,87.58
01-03-2017,95.07
02-03-2017,83.99
03-03-2017,91.47
04-03-2017,73.98
05-03-2017,78.18
06-03-2017,73.11
07-03-2017,81.42
08-03-2017,86.62
09-03-2017,95.11
10-03-2017,71.57
11-03-2017,49.41
12-03-2017,60.94
13-03-2017,59.01
14-03-2017,71.33
15-03-2017,63.24
16-03-2017,64.76
17-03-2017,52.44
18-03-2017,87.32
19-03-2017,80.9
20-03-2017,52.97
21-03-2017,94.31
22-03-2017,106.07
23-03-2017,101.09
24-03-2017,107.33
25-03-2017,112.87
26-03-2017,117.85
27-03-2017,115.52
28-03-2017,57.71
29-03-2017,84.63
30-03-2017,63.76
31-03-2017,96.81
01-04-2017,108.74
02-04-2017,103.27
03-04-2017,106.14
04-04-2017,98.83
05-04-2017,78.4
06-04-2017,50.48
07-04-2017,81.29
08-04-2017,103.36
09-04-2017,88.21
10-04-2017,91.32
11-04-2017,90.2
12-04-2017,84.95
13-04-2017,105.05
14-04-2017,104.14
15-04-2017,104.16
16-04-2017,99.5
17-04-2017,79.62
18-04-2017,66.08
19-04-2017,82.71
20-04-2017,53.56
21-04-2017,80.09
22-04-2017,59.99
23-04-2017,60.96
25-04-2017,42.03
26-04-2017,121.81
27-04-2017,97.25
28-04-2017,83.27
29-04-2017,76.76
30-04-2017,113.29
01-05-2017,79.21
02-05-2017,79.82
03-05-2017,86.55
04-05-2017,90.19
05-05-2017,85.3
06-05-2017,91.74
07-05-2017,74.7
08-05-2017,55.42
09-05-2017,56.42
10-05-2017,73.66
11-05-2017,34.89
12-05-2017,63.6
13-05-2017,74.89
14-05-2017,70.19
15-05-2017,50.06
16-05-2017,66.05
17-05-2017,65.67
18-05-2017,58.6
19-05-2017,47.27
20-05-2017,67.37
21-05-2017,50.16
22-05-2017,71.84
23-05-2017,62.12
24-05-2017,56.18
25-05-2017,61.32
26-05-2017,67.45
27-05-2017,44.54
28-05-2017,53.04
29-05-2017,61.23
30-05-2017,56.14
31-05-2017,38.24
01-06-2017,60.23
02-06-2017,59.74
03-06-2017,57.36
05-06-2017,80.15
06-06-2017,49.93
07-06-2017,33.1
08-06-2017,72.68
09-06-2017,81.4
10-06-2017,91.31
11-06-2017,74.63
12-06-2017,61.36
13-06-2017,84.58
14-06-2017,93.93
15-06-2017,111.46
16-06-2017,89.23
17-06-2017,91.46
18-06-2017,91.79
19-06-2017,90.29
20-06-2017,88.15
21-06-2017,114.13
22-06-2017,65.33
23-06-2017,38.83
24-06-2017,119.06
25-06-2017,87.56
26-06-2017,97.61
27-06-2017,110.49
28-06-2017,92.73
29-06-2017,77.49
30-06-2017,108.29
01-07-2017,131.84
02-07-2017,109.33
03-07-2017,89.89
04-07-2017,85.05
05-07-2017,86.38
06-07-2017,79.08
07-07-2017,53.29
08-07-2017,120.73
09-07-2017,108.35
10-07-2017,102.31
11-07-2017,86.17
12-07-2017,77.92
13-07-2017,96.21
14-07-2017,96.86
15-07-2017,112.99
16-07-2017,96.7
17-07-2017,111.29
18-07-2017,81.34
19-07-2017,67.51
20-07-2017,87.44
21-07-2017,104.78
22-07-2017,122.86
23-07-2017,116.83
24-07-2017,110.63
25-07-2017,98.1
26-07-2017,106.37
27-07-2017,94.22
28-07-2017,76.2
29-07-2017,89.17
30-07-2017,89.3
31-07-2017,91.66
01-08-2017,85.75
02-08-2017,89.59
03-08-2017,73.97
04-08-2017,60.25
05-08-2017,78.63
06-08-2017,82.47
07-08-2017,88.46
08-08-2017,102.47
09-08-2017,90.31
10-08-2017,72.57
11-08-2017,67.78
12-08-2017,65.45
13-08-2017,116.98
14-08-2017,115.95
15-08-2017,64.23
16-08-2017,60.23
17-08-2017,73.9
18-08-2017,55.2
19-08-2017,50.87
20-08-2017,63.7
21-08-2017,88.29
22-08-2017,86.38
23-08-2017,74.37
24-08-2017,62.36
25-08-2017,50.7
26-08-2017,70.57
27-08-2017,48.4
28-08-2017,89.18
29-08-2017,103.19
30-08-2017,90.56
31-08-2017,116.25
01-09-2017,89.68
02-09-2017,81.99
03-09-2017,59.57
04-09-2017,96.34
05-09-2017,92.67
06-09-2017,44.76
07-09-2017,103.57
08-09-2017,70.58
09-09-2017,84.64
10-09-2017,96.23
11-09-2017,115.32
12-09-2017,101.65
13-09-2017,109.74
14-09-2017,87.87
15-09-2017,76.2
16-09-2017,88.87
17-09-2017,51.57
18-09-2017,66.41
19-09-2017,88.08
20-09-2017,81.38
21-09-2017,62.33
22-09-2017,77.45
23-09-2017,93.03
24-09-2017,107.9
25-09-2017,53.02
26-09-2017,78.39
27-09-2017,46.48
28-09-2017,59.27
29-09-2017,71.1
30-09-2017,71.61
01-10-2017,60.88
02-10-2017,55
03-10-2017,77.03
04-10-2017,62.8
05-10-2017,44.96
06-10-2017,58.23
07-10-2017,85.86
08-10-2017,70.52
09-10-2017,80.28
10-10-2017,75.79
11-10-2017,58.5
12-10-2017,55.74
13-10-2017,48.3
14-10-2017,43.58
15-10-2017,47.65
16-10-2017,80.92
17-10-2017,126.06
18-10-2017,184.49
19-10-2017,191.21
20-10-2017,264.19
21-10-2017,134.16
22-10-2017,120.24
23-10-2017,126.72
24-10-2017,181.16
25-10-2017,123.25
26-10-2017,88.81
27-10-2017,87.96
28-10-2017,93.19
29-10-2017,99.4
30-10-2017,84.45
31-10-2017,93.16
01-11-2017,37.3
02-11-2017,47.9
03-11-2017,107.97
04-11-2017,82.29
05-11-2017,48.45
06-11-2017,34.77
07-11-2017,77.33
08-11-2017,43.96
09-11-2017,99.26
10-11-2017,52.51
11-11-2017,89.77
12-11-2017,89.59
13-11-2017,80.35
14-11-2017,79.89
15-11-2017,77.34
16-11-2017,91.61
17-11-2017,90.17
18-11-2017,65.07
19-11-2017,80.84
20-11-2017,82.87
21-11-2017,48.27
22-11-2017,56.18
23-11-2017,75.52
24-11-2017,99.08
25-11-2017,101.56
26-11-2017,87.59
27-11-2017,75.49
28-11-2017,83.85
29-11-2017,81.99
30-11-2017,49.12
01-12-2017,29.86
02-12-2017,102.78
03-12-2017,86.83
04-12-2017,117.87
05-12-2017,85.66
06-12-2017,112.73
07-12-2017,103.2
08-12-2017,128.19
09-12-2017,133.55
10-12-2017,136.95
11-12-2017,49.2
12-12-2017,25.98
13-12-2017,107.85
14-12-2017,91.34
15-12-2017,72.6
16-12-2017,101.9
17-12-2017,94.44
18-12-2017,105.18
19-12-2017,92.41
20-12-2017,90.39
21-12-2017,78.72
22-12-2017,79.01
23-12-2017,81.79
26-12-2017,89.54
27-12-2017,107.29
28-12-2017,103.41
29-12-2017,95.27
30-12-2017,88.01
31-12-2017,76.69
01-01-2018,93.04
02-01-2018,92.28
03-01-2018,84.21
04-01-2018,95.24
05-01-2018,111.5
06-01-2018,107.03
07-01-2018,101.85
